Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,8.396450996398926,8.396450996398926,8.250418663024902,8.250418663024902,3.355746269226074,63002478
2000-01-05,8.250418663024902,8.323431015014648,8.250418663024902,8.323431015014648,3.3854429721832275,174144607
2000-01-06,8.323431015014648,8.615487098693848,8.250418663024902,8.615487098693848,3.5042333602905273,215349476
2000-01-07,8.615487098693848,8.907533645629883,8.469463348388672,8.761509895324707,3.5636250972747803,128758
2000-01-10,8.980545997619629,8.980545997619629,8.542474746704102,8.688499450683594,3.5339298248291016,134236
2000-01-11,8.761509895324707,8.761509895324707,8.542474746704102,8.542474746704102,3.4745359420776367,149916
2000-01-12,8.542474746704102,9.126569747924805,8.542474746704102,9.053558349609375,3.682412624359131,453486
2000-01-13,9.126569747924805,9.126569747924805,8.688499450683594,8.834522247314453,3.593322515487671,217041
2000-01-14,8.871031761169434,8.871031761169434,8.761509895324707,8.834522247314453,3.593322515487671,301878
2000-01-17,9.126569747924805,9.601151466369629,9.053558349609375,9.601151466369629,3.9051387310028076,539632
2000-01-18,9.601151466369629,9.856697082519531,9.601151466369629,9.637661933898926,3.9199886322021484,543751
2000-01-19,9.637661933898926,9.856697082519531,9.49163818359375,9.5281400680542,3.8754425048828125,534254
2000-01-20,9.710673332214355,9.710673332214355,9.418625831604004,9.49163818359375,3.860595703125,219140
2000-01-21,9.49163818359375,10.14875316619873,9.49163818359375,10.14875316619873,4.127868175506592,836855
2000-01-24,10.18525505065918,10.84237003326416,10.18525505065918,10.84237003326416,4.409987926483154,1284367
2000-01-25,10.951884269714355,11.535987854003906,10.951884269714355,11.535987854003906,4.692107200622559,2049493
2000-01-26,12.266115188598633,12.339126586914062,12.120091438293457,12.339126586914062,5.018773555755615,847099
2000-01-27,12.77719783782959,13.142266273498535,12.04707145690918,12.77719783782959,5.196952819824219,4770872
2000-01-28,12.77719783782959,13.142266273498535,12.558161735534668,12.850217819213867,5.226653099060059,1735932
2000-01-31,12.04707145690918,12.923230171203613,11.901046752929688,12.339126586914062,5.018773555755615,2524222
2000-02-01,11.535987854003906,12.266115188598633,11.535987854003906,12.04707145690918,4.8999834060668945,1049134
